1,3,1,0
2,6,4,0
3,7,5,0
0,11,9,0
1,11,1,2
3,15,2,1
5,16,16,0
2,16,4,2
4,17,16,0
0,18,7,2
3,22,2,4
1,22,0,2
5,24,16,4
2,27,3,3
0,28,6,3
1,29,2,6
5,31,15,4
4,32,19,0
3,32,0,4
0,33,5,5
2,34,2,4
5,37,14,6
4,40,18,5
3,40,2,5
0,44,3,8
2,44,1,2
2,48,1,3
5,49,13,8
0,51,3,10
4,52,17,8
1,52,19,0
3,53,9,0
2,54,0,4
3,59,8,4
5,60,13,12
4,60,16,13
0,60,2,11
1,61,18,2
3,66,7,7
2,66,2,8
4,67,15,17
5,70,12,12
0,71,2,9
3,71,6,12
1,73,17,5
5,75,12,15
2,76,6,0
0,79,1,9
5,81,11,15
3,81,5,15
1,81,16,6
0,86,1,10
1,86,15,7
4,89,2,20
3,90,4,19
2,92,0,0
5,93,2,20
0,93,0,11
1,95,14,9
4,98,0,11
2,98,2,6
5,99,0,10
3,99,2,20
0,103,2,4
1,104,12,11
2,105,3,0
3,106,0,16
4,112,10,0
1,113,11,13
3,115,1,4
2,115,2,8
3,121,2,5
5,122,18,0
4,123,10,9
2,124,0,6
1,124,10,17
0,125,18,0
5,126,18,6
3,133,3,2
1,136,9,17
5,137,17,8
0,137,19,0
2,137,2,10
3,140,6,1
4,141,2,10
0,144,17,6
4,145,2,6
2,146,5,0
5,149,16,14
3,149,6,0
1,150,2,20
0,151,16,7
2,152,5,7
4,156,1,6
3,156,6,10
0,160,15,12
1,160,0,12
2,164,4,8
4,167,0,5
3,168,3,10
5,169,2,20
1,173,2,12
5,174,1,15
2,175,4,18
4,176,2,4
3,176,3,12
0,178,2,20
1,178,3,4
5,180,1,14
3,185,2,12
5,186,0,14
0,186,1,16
2,187,3,18
1,188,4,4
2,193,2,20
1,194,5,4
5,195,0,8
0,195,0,14
4,196,10,1
3,196,1,13
1,199,6,3
2,204,1,16
5,206,1,11
3,208,0,12
2,210,0,15
4,211,18,1
0,212,7,0
5,215,2,13
1,215,11,2
3,216,2,3
2,223,2,3
4,225,14,0
0,225,2,20
1,227,16,1
3,232,8,0
5,234,12,2
4,236,13,19
0,236,2,17
2,239,8,0
3,241,7,19
1,241,19,0
0,244,1,20
2,244,7,2
5,246,18,1
2,249,6,7
4,251,2,20
1,251,18,19
0,252,0,20
3,252,2,20
0,257,1,17
5,258,13,0
2,258,2,20
4,259,2,15
3,260,0,16
4,264,1,15
5,265,13,18
0,265,2,20
3,265,1,6
4,270,0,20
3,270,2,7
0,271,2,3
2,271,0,13
5,273,12,19
1,274,2,20
4,280,1,8
0,280,3,4
3,280,5,0
2,282,1,3
1,283,1,12
4,286,2,9
3,286,4,19
0,287,4,4
1,287,1,13
5,288,2,20
2,290,2,4
3,295,2,20
0,298,5,4
3,299,2,16
1,299,0,14
5,300,1,20
1,305,1,13
2,307,9,0
0,308,10,4
3,308,2,19
4,309,10,2
5,310,0,18
1,310,2,14
0,315,11,3
4,316,11,2
1,317,3,3
2,318,8,15
5,319,0,12
3,320,1,20
4,321,12,2
5,326,1,17
0,327,13,2
1,327,5,2
4,328,13,2
3,328,0,20
2,328,2,20
2,334,0,13
0,335,10,0
3,337,2,7
5,338,2,20
1,339,8,1
4,342,16,2
2,345,2,10
0,347,2,20
3,349,3,0
4,352,19,1
