945,2,36,4,2,7,27,34
977,15,36,4,2,1,20,21
1289,18,44,3,0,12,14,26
240,15,44,4,0,2,27,29
116,24,44,3,0,7,13,20
278,6,44,4,0,4,34,38
46,28,48,10,2,1,19,20
327,7,48,10,2,18,23,41
686,21,48,10,2,6,21,27
1049,43,52,0,2,1,8,9
780,23,53,1,2,18,12,30
871,33,53,0,2,1,19,20
1225,36,53,0,2,1,16,17
1304,37,53,0,2,2,14,16
722,27,53,0,2,4,22,26
1060,20,53,0,2,12,21,33
962,31,53,0,2,2,20,22
1385,36,53,0,2,2,15,17
302,5,53,0,2,26,22,48
48,47,54,0,2,1,6,7
1347,32,55,6,0,8,15,23
524,10,55,10,0,16,29,45
436,16,55,10,0,9,30,39
359,32,55,10,0,1,22,23
494,30,55,6,0,9,16,25
803,1,58,9,0,12,45,57
1389,52,58,2,0,1,5,6
1195,42,58,2,0,5,11,16
452,10,58,7,0,10,38,48
99,12,58,9,0,2,44,46
778,22,58,7,0,1,35,36
325,55,62,0,2,1,6,7
239,53,69,4,2,11,5,16
928,65,69,0,2,1,3,4
597,63,69,0,2,1,5,6
224,59,69,0,2,1,9,10
468,56,80,11,2,2,22,24
507,70,80,10,2,1,9,10
141,9,80,16,2,13,58,71
1475,19,80,16,2,2,59,61
243,33,80,15,2,1,46,47
505,9,80,15,2,19,52,71
763,10,80,13,2,35,35,70
190,25,80,13,2,20,35,55
933,54,92,11,0,3,35,38
1487,79,92,2,0,1,12,13
1171,23,92,13,0,23,46,69
1014,21,92,12,0,31,40,71
586,37,92,13,0,8,47,55
762,29,92,13,0,18,45,63
906,11,92,15,0,18,63,81
1112,3,92,16,0,18,71,89
425,14,92,14,0,22,56,78
730,5,92,12,0,46,41,87
1359,51,92,11,0,5,36,41
765,65,101,2,0,4,32,36
270,73,101,2,0,1,27,28
1051,56,101,1,0,24,21,45
152,62,101,4,0,3,36,39
367,44,101,4,0,19,38,57
1429,53,101,4,0,10,38,48
1431,68,103,0,2,25,10,35
59,87,103,1,2,11,5,16
1303,94,103,0,2,2,7,9
333,91,103,0,2,1,11,12
1189,90,103,0,2,5,8,13
235,69,103,0,2,23,11,34
582,82,103,0,2,10,11,21
639,67,103,0,2,25,11,36
1026,75,103,0,2,17,11,28
345,74,103,0,2,20,9,29
1130,77,103,0,2,16,10,26
1469,104,108,0,2,1,3,4
1331,95,108,0,2,6,7,13
459,105,117,3,2,1,11,12
