3,0,0,0
5,1,0,0
1,2,0,0
4,10,0,0
0,15,0,0
3,16,6,4
2,16,0,0
5,21,10,10
1,23,14,3
0,23,1,14
4,25,11,2
3,27,7,3
1,29,16,2
2,31,6,3
5,33,11,9
4,33,15,1
3,34,8,1
0,35,3,13
2,37,7,2
5,41,13,8
0,43,5,12
2,44,8,1
5,48,14,7
3,51,0,0
1,51,0,0
0,51,6,10
4,53,0,0
3,57,1,19
1,57,1,20
0,57,8,9
5,60,16,5
4,63,2,12
2,64,0,0
5,66,18,4
0,66,12,6
3,68,2,16
1,68,4,19
2,72,1,8
3,74,4,14
5,74,19,3
0,76,16,4
1,81,10,18
4,81,10,11
2,81,3,7
0,82,17,2
3,86,5,11
1,87,11,17
4,90,13,10
2,91,4,5
1,92,12,16
0,92,19,1
3,95,6,7
4,96,14,8
1,98,14,15
5,99,0,0
2,99,5,4
3,106,7,5
5,108,1,20
4,108,15,6
1,109,15,11
2,109,6,2
5,114,2,19
3,115,8,4
2,117,9,1
1,118,16,10
4,118,17,4
3,122,9,1
0,122,0,0
4,127,18,3
0,128,2,20
1,130,17,7
2,131,0,0
4,133,19,1
1,135,18,5
5,136,10,18
3,137,0,0
0,137,3,19
2,137,1,20
5,145,11,17
1,145,19,2
0,145,4,18
2,145,3,17
3,148,1,20
5,150,12,15
2,151,4,14
4,157,0,0
2,157,5,12
3,158,2,19
5,158,13,14
0,158,6,17
5,166,15,12
2,167,6,9
0,168,7,15
3,170,3,17
1,170,0,0
5,173,16,8
3,175,4,15
4,177,10,20
0,177,8,14
2,177,7,7
5,178,17,7
0,184,9,11
1,185,4,20
4,186,11,16
2,186,8,5
3,187,5,14
5,189,18,4
0,191,10,7
1,192,5,19
4,192,12,13
0,196,11,6
3,197,6,11
2,197,9,2
5,198,19,1
1,198,7,17
4,200,13,8
3,207,7,9
4,208,16,6
1,210,8,16
0,210,14,4
2,214,0,0
4,215,18,4
3,219,8,5
0,220,16,2
1,223,10,15
2,223,1,20
3,224,9,2
4,224,19,1
5,225,0,0
0,227,19,1
1,230,11,14
2,234,2,19
3,240,0,0
1,240,12,13
2,240,3,17
5,242,10,20
2,245,4,10
3,246,1,20
4,249,0,0
1,250,13,12
0,252,0,0
5,254,11,18
3,256,3,19
2,256,6,6
1,258,14,11
4,259,1,20
3,261,4,18
5,261,12,17
0,261,3,20
2,261,7,3
1,266,15,10
2,266,8,2
3,269,5,12
5,270,13,15
0,271,9,18
1,274,16,7
4,274,10,19
3,278,6,9
5,279,14,14
2,280,0,0
0,282,10,17
1,283,17,5
3,284,7,6
5,284,15,12
4,286,11,15
2,286,1,20
0,289,11,15
5,291,16,10
3,292,8,5
4,292,12,14
0,294,12,12
1,295,18,4
2,295,2,17
5,298,17,7
3,300,9,3
4,302,13,11
5,303,18,5
1,303,19,1
0,304,13,10
2,304,3,14
5,309,19,3
4,312,14,9
0,312,14,8
2,315,4,12
4,317,15,8
3,319,0,0
0,320,15,7
4,324,16,7
2,326,5,11
1,327,0,0
3,328,1,20
0,331,17,5
5,335,0,0
4,335,18,5
3,337,2,19
2,337,6,9
4,340,19,3
1,341,3,20
5,343,2,20
0,343,18,4
3,347,3,16
2,347,7,8
1,351,6,18
0,354,19,3
2,356,8,6
3,357,4,14
5,362,10,19
1,362,10,17
4,363,0,0
2,363,9,5
3,367,5,11
5,369,11,18
1,371,11,12
4,371,1,20
5,374,12,16
3,378,6,6
1,378,12,10
2,379,0,0
4,380,2,19
0,383,0,0
5,387,14,15
3,388,7,3
1,391,14,9
2,392,2,20
3,393,8,2
0,395,3,20
5,397,15,10
2,397,3,19
1,398,16,6
3,402,9,1
5,403,16,7
4,403,10,18
0,403,5,19
2,403,4,16
1,404,17,4
5,409,17,6
0,409,6,18
4,410,11,16
2,410,5,14
0,414,7,17
1,415,19,3
3,417,0,0
4,417,12,14
5,419,18,3
2,420,6,12
4,423,13,13
0,423,8,16
5,427,19,2
3,428,1,20
2,428,7,10
0,430,9,15
4,435,14,11
2,436,8,5
0,437,10,14
3,440,2,18
2,441,9,1
1,442,0,0
4,444,15,10
0,444,11,11
0,449,12,9
1,450,3,20
3,452,3,16
0,454,13,8
4,455,16,9
5,456,0,0
2,459,0,0
4,460,17,5
0,461,14,5
3,462,4,14
5,462,1,20
1,463,6,19
4,465,18,4
2,465,1,20
5,468,2,15
0,469,17,3
1,472,10,18
2,472,2,18
3,473,5,12
4,474,19,3
2,477,3,14
3,478,6,11
1,478,11,17
0,482,19,1
2,482,4,13
3,483,7,7
5,489,10,14
1,489,12,15
3,490,8,5
2,491,5,12
1,495,14,12
5,496,11,10
2,499,6,6
3,502,9,1
4,503,0,0
1,505,15,9
5,507,12,8
0,507,0,0
4,508,1,20
2,512,8,3
0,517,1,20
1,518,17,8
5,519,13,6
3,521,0,0
0,524,3,18
1,526,18,7
4,526,10,18
3,527,1,20
5,527,14,5
2,527,0,0
5,533,15,4
0,534,4,17
2,534,1,20
4,535,11,16
1,536,19,5
3,537,3,18
2,540,2,17
3,544,4,15
0,544,6,15
5,545,16,3
4,545,12,15
2,545,3,16
4,550,13,13
0,551,7,13
3,553,5,14
5,555,17,1
2,556,5,15
3,559,6,9
4,559,14,12
0,560,10,11
1,567,0,0
2,567,6,9
3,568,7,7
4,568,15,10
0,570,11,10
3,574,8,3
4,574,16,6
2,575,7,7
0,577,12,9
3,579,9,1
5,580,0,0
1,581,4,20
4,581,18,3
0,583,13,8
2,584,8,5
1,591,5,18
2,591,9,1
0,593,14,6
3,597,0,0
5,597,10,18
5,602,11,17
0,603,16,5
1,604,10,17
2,606,0,0
4,607,0,0
5,609,12,14
0,609,17,3
3,611,6,1
1,611,11,16
1,618,12,15
0,619,19,2
5,621,13,10
1,628,14,14
5,630,14,9
1,640,16,9
5,641,15,7
1,645,17,6
5,647,16,6
5,654,17,5
1,654,19,4
5,663,18,3
5,672,19,2
