0,13,10,0
4,17,16,0
5,18,16,0
1,20,16,0
0,22,7,1
5,26,15,0
4,27,15,1
0,30,7,2
2,32,1,0
3,33,1,0
4,33,15,2
1,34,18,0
0,38,6,2
5,38,13,2
4,41,13,2
1,42,17,1
2,42,1,2
0,43,6,3
3,45,0,0
2,48,0,2
5,49,13,3
1,51,16,2
0,52,5,3
4,52,12,2
3,53,2,1
0,56,5,5
5,57,12,3
2,59,5,0
0,61,4,5
4,61,12,3
5,63,11,3
1,65,10,4
3,66,6,0
4,67,11,3
5,67,11,5
2,68,6,0
0,70,4,8
1,74,9,5
3,75,1,1
0,77,2,8
5,77,10,5
4,78,10,3
3,79,1,2
0,82,1,6
2,83,0,0
1,85,6,7
3,87,0,2
2,91,2,3
0,93,0,6
3,94,2,1
5,97,2,5
1,99,1,7
4,102,2,3
5,103,2,5
1,106,0,8
2,106,7,0
4,107,1,2
3,108,7,0
2,113,4,2
3,114,8,0
5,115,1,5
4,118,0,2
0,119,17,0
4,124,2,2
2,126,2,4
3,127,6,1
5,127,0,5
1,129,17,0
0,131,15,4
2,133,2,4
0,138,14,6
3,139,0,2
1,142,15,1
2,144,0,4
0,145,13,8
3,148,2,1
0,152,13,11
5,152,19,0
1,153,14,1
2,156,5,0
4,156,19,0
0,159,12,11
2,161,5,1
3,161,1,0
1,162,13,1
5,162,18,6
4,163,18,1
0,165,12,13
4,168,17,2
1,170,10,1
3,170,1,1
0,171,11,14
5,172,18,8
2,173,4,1
0,175,11,17
4,177,16,3
2,178,4,3
3,180,0,1
1,181,10,5
5,182,17,9
0,183,10,17
3,185,1,1
4,185,15,4
2,189,3,3
5,190,16,9
1,191,9,5
0,194,9,17
3,195,2,3
4,195,13,5
5,195,15,9
2,197,3,4
1,200,9,7
0,203,8,17
4,205,12,6
5,207,14,11
0,208,8,19
1,208,8,7
2,208,2,4
3,208,1,0
2,212,2,5
4,212,11,7
1,215,7,7
0,218,7,19
5,218,13,12
3,219,1,3
1,222,7,13
4,222,10,11
2,223,1,5
5,223,12,13
3,226,0,4
1,227,6,13
2,230,0,5
0,231,2,20
5,231,11,13
1,232,5,14
3,232,2,5
0,238,1,16
4,239,2,14
1,241,4,17
5,242,10,13
0,248,0,17
1,250,2,19
3,250,9,0
4,250,1,12
2,251,9,0
3,258,8,4
4,259,0,11
0,260,2,1
1,260,0,14
2,263,8,3
5,266,2,14
2,268,7,3
3,268,8,9
2,275,6,9
5,276,1,13
3,277,7,10
2,280,6,12
5,280,1,14
4,283,19,0
3,284,6,10
0,285,19,0
5,285,0,15
2,287,5,12
1,288,19,0
0,289,19,1
5,292,2,2
0,294,18,1
3,294,3,12
4,294,18,5
2,298,5,14
3,299,3,15
0,303,17,5
4,305,18,7
2,306,4,14
0,307,17,7
4,310,17,7
3,311,2,15
2,315,4,15
3,316,2,16
1,318,0,0
5,318,12,0
0,319,16,8
4,320,16,7
5,323,12,6
2,325,3,15
3,326,0,16
0,327,16,12
1,328,2,3
2,332,2,16
3,332,2,1
4,332,15,8
5,333,11,6
0,335,15,13
4,338,14,16
1,341,7,0
5,342,11,15
2,343,0,13
3,344,7,0
0,345,14,15
4,347,13,18
1,348,7,3
0,353,13,16
1,353,6,3
5,353,10,15
2,356,2,1
3,357,9,0
1,361,6,4
3,362,8,5
4,366,2,20
0,368,2,20
1,369,5,6
2,370,8,1
5,370,2,20
3,372,5,7
4,372,0,15
0,378,1,14
1,378,4,10
5,378,0,17
3,379,4,7
0,383,0,15
2,383,9,0
4,383,1,10
3,384,4,7
1,385,3,13
2,391,8,2
0,392,2,2
3,394,3,7
4,395,2,11
1,397,2,17
5,400,18,0
2,403,7,3
1,404,1,17
3,405,2,7
5,408,17,7
1,410,0,16
3,412,0,6
0,415,18,0
2,415,6,6
1,417,1,9
5,417,16,13
3,418,2,1
4,418,10,1
2,424,4,9
5,424,15,16
0,425,19,0
1,425,2,11
2,429,3,11
3,429,0,0
4,431,12,0
5,431,14,19
0,434,19,10
3,436,2,6
2,438,2,14
4,438,11,5
0,444,18,10
2,444,2,11
4,447,10,9
1,449,18,1
5,449,2,20
0,450,18,12
3,451,9,0
2,455,1,12
0,456,17,12
4,460,10,16
0,461,17,14
5,462,0,10
3,463,7,4
2,466,1,11
3,470,6,6
0,471,15,15
5,472,2,12
2,474,0,11
1,475,0,0
0,478,14,19
4,479,2,16
2,480,2,3
3,482,5,8
1,486,2,5
2,487,3,0
3,488,4,10
4,489,2,14
3,495,3,13
5,495,10,1
2,497,2,1
4,500,1,17
0,501,2,20
3,502,2,13
2,506,0,0
1,508,13,0
3,510,0,10
4,511,1,18
0,512,0,15
5,513,19,1
1,516,12,8
2,518,2,10
5,518,18,4
3,519,4,0
4,519,0,19
0,522,2,4
1,523,11,9
3,525,2,2
5,525,17,6
2,528,1,0
4,530,2,3
1,532,10,12
3,532,2,2
0,533,6,0
2,536,1,3
3,537,1,3
5,537,16,7
1,541,9,13
2,543,1,5
0,544,2,1
5,544,15,11
1,546,8,16
3,547,0,1
4,549,0,0
2,552,0,5
0,553,2,4
1,553,7,19
5,554,14,15
3,557,1,13
4,557,2,2
2,561,1,2
3,562,1,14
0,565,1,4
5,565,12,16
1,569,2,20
0,570,0,3
2,570,2,3
3,572,2,14
4,572,2,1
0,576,0,5
5,576,11,19
1,580,1,15
2,580,2,1
0,585,1,8
3,586,6,0
5,588,2,20
1,591,0,16
2,592,6,1
4,592,11,1
3,593,5,4
0,594,1,9
1,598,2,6
5,598,1,13
3,601,5,5
2,602,7,0
0,603,2,9
5,608,0,13
3,610,4,5
4,613,0,0
2,615,2,4
0,616,5,2
1,617,16,1
4,618,1,2
3,620,4,6
5,620,1,12
1,624,18,0
2,624,2,4
3,625,3,6
0,629,14,1
4,629,2,3
5,629,2,12
1,635,17,3
2,636,1,5
3,636,2,7
1,640,16,4
2,641,0,3
1,645,15,5
3,647,0,5
0,652,0,0
2,653,2,19
1,654,11,7
4,654,12,2
3,659,2,2
5,659,18,1
2,660,3,1
4,661,13,1
0,663,0,8
1,665,10,8
5,667,19,0
0,669,2,10
2,669,4,0
3,669,4,0
1,674,8,11
4,674,19,0
5,675,18,2
2,676,4,1
3,679,0,0
5,679,18,3
0,681,7,2
2,685,2,1
1,687,4,12
5,689,14,3
2,690,2,4
3,690,1,15
1,692,3,12
5,695,14,4
0,697,19,1
3,697,2,16
1,699,2,12
2,702,1,4
4,703,0,0
0,704,19,1
3,708,2,1
4,709,2,14
1,710,0,5
0,713,18,1
5,713,2,4
3,715,2,1
0,718,17,2
1,718,2,6
5,719,0,1
2,720,9,0
3,727,7,1
0,731,9,3
1,731,7,1
2,731,7,2
4,732,14,2
5,732,2,2
2,737,7,3
0,739,7,3
3,741,0,0
4,743,18,1
0,746,5,3
2,747,5,3
3,747,1,7
1,748,0,0
4,752,19,0
1,753,1,3
0,754,4,4
2,754,2,3
5,756,13,1
3,758,2,7
0,761,4,5
1,762,2,4
2,763,1,6
2,771,0,1
3,772,0,0
0,773,3,5
5,776,0,0
1,777,13,5
2,777,2,11
4,778,2,1
0,780,2,6
3,781,2,5
5,786,2,4
1,790,15,3
4,790,1,1
2,791,5,2
0,792,1,1
3,794,0,0
5,796,2,3
1,801,17,1
3,804,2,15
2,805,8,1
0,811,10,0
3,812,5,1
4,813,13,0
5,815,10,4
2,822,0,0
1,824,0,0
3,826,0,0
0,827,2,1
5,827,12,3
2,832,1,7
4,832,2,1
1,833,1,3
5,834,15,2
3,835,1,1
0,836,2,4
4,836,2,0
2,837,1,7
1,839,2,5
3,840,2,1
4,840,2,3
0,841,1,6
2,843,2,7
